path,intsize
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_1000_60_2.opb.xz,11
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_1000_60_4.opb.xz,11
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_100_25_4.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_100_25_5.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_10_4_2.opb.xz,5
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_10_4_4.opb.xz,5
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_200_10_2.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_200_10_4.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_500_10_4.opb.xz,10
OPT-NLC/normalized-PB07/submittedPB07/manquinho/bsg/normalized-bsg_500_60_4.opb.xz,10
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_100_10_1.opb.xz,7
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_100_10_2.opb.xz,7
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_100_10_4.opb.xz,7
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_10_4_4.opb.xz,4
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_200_10_3.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_200_25_3.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_200_25_5.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_500_10_1.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_500_10_2.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mds/normalized-mds_500_25_2.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_1000_25_3.opb.xz,10
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_1000_25_4.opb.xz,10
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_1000_60_4.opb.xz,10
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_100_10_2.opb.xz,7
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_200_10_1.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_200_10_2.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_200_25_1.opb.xz,8
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_500_10_2.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_500_10_5.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/manquinho/mis/normalized-mis_500_25_5.opb.xz,9
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=5-P0=2-P1=23-P2=17-B.opb.xz,11
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=5-P0=3-P1=7-P2=31-P3=29-B.opb.xz,11
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=6-P0=29-P1=59-P2=11-P3=29-P4=29-P5=11-P6=41-P7=53-B.opb.xz,13
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=7-P0=11-P1=71-P2=127-P3=19-P4=89-P5=17-B.opb.xz,15
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=7-P0=71-P1=131-P2=37-P3=29-P4=71-P5=79-P6=47-P7=41-B.opb.xz,15
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=7-P0=97-P1=43-P2=127-P3=89-P4=59-P5=127-P6=43-P7=127-P8=67-P9=17-B.opb.xz,15
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=8-P0=29-P1=61-P2=43-P3=131-P4=2-P5=59-P6=41-B.opb.xz,17
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=8-P0=37-P1=223-P2=197-P3=97-P4=11-P5=157-P6=97-P7=127-P8=79-P9=11-B.opb.xz,17
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=8-P0=5-P1=173-B.opb.xz,17
OPT-NLC/normalized-PB07/submittedPB07/roussel/factor-mod-B/factor-mod-size=9-P0=103-P1=127-P2=263-P3=461-P4=191-P5=277-B.opb.xz,19
OPT-NLC/normalized-PB10/oren/keeloq_tasca_instances/normalized-90_rounds_0_errors.opb.xz,8
