path,intsize
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=10.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=2.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=3.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=4.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=5.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=6.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=7.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=8.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=10-t=9.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=10.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=11.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=2.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=3.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=4.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=5.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=6.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=7.opb.xz,4
OPT-LIN/normalized-PB24/ihalainen/PBO-clique-coloring/normalized-clique-coloring-max-clique-n=11-t=8.opb.xz,4
