path,intsize
DEC-LIN/normalized-PB16/elffers/EC_ODD_GRIDS/normalized-ECgrid5x110split.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_ODD_GRIDS/normalized-ECgrid5x120split.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_ODD_GRIDS/normalized-ECgrid5x130split.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_ODD_GRIDS/normalized-ECgrid5x140split.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_ODD_GRIDS/normalized-ECgrid5x150split.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v010-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v020-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v030-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v040-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v050-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v060-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v070-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v080-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v090-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v100-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand4regsplit-v110-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v011-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v021-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v031-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v041-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v051-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v061-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v071-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v081-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v091-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v101-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/EC_RANDOM_GRAPHS/normalized-ECrand6reg-v111-n1.opb.xz,4
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l010-r009-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l015-r014-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l020-r019-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l025-r024-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l030-r029-n1.opb.xz,3
DEC-LIN/normalized-PB16/elffers/Instances3col_OPB/normalized-3col-almost3reg-l035-r034-n1.opb.xz,3
