path,intsize
SOFT-LIN/PB10/oliveras/j120/normalized-j12013_1-unsat--soft-0-100-0.wbo.xz,10
SOFT-LIN/PB10/oliveras/j120/normalized-j12015_3-unsat--soft-0-100-0.wbo.xz,10
SOFT-LIN/PB10/oliveras/j120/normalized-j12023_3-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j120/normalized-j12026_5-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j120/normalized-j12027_7-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j120/normalized-j12041_4-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j120/normalized-j1205_1-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j30/normalized-j301_4-unsat--soft-0-100-0.wbo.xz,7
SOFT-LIN/PB10/oliveras/j30/normalized-j3029_8-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j30/normalized-j3041_4-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j30/normalized-j3046_4-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j30/normalized-j308_1-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j30/normalized-j309_10-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j60/normalized-j6010_2-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j60/normalized-j6027_4-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j60/normalized-j602_7-unsat--soft-0-100-0.wbo.xz,7
SOFT-LIN/PB10/oliveras/j60/normalized-j6030_9-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j60/normalized-j6033_2-unsat--soft-0-100-0.wbo.xz,7
SOFT-LIN/PB10/oliveras/j60/normalized-j603_2-unsat--soft-0-100-0.wbo.xz,7
SOFT-LIN/PB10/oliveras/j60/normalized-j605_1-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j60/normalized-j605_10-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j60/normalized-j606_1-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j90/normalized-j9010_6-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j90/normalized-j9012_2-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j90/normalized-j9014_1-unsat--soft-0-100-0.wbo.xz,10
SOFT-LIN/PB10/oliveras/j90/normalized-j9015_10-unsat--soft-0-100-0.wbo.xz,10
SOFT-LIN/PB10/oliveras/j90/normalized-j9028_2-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j90/normalized-j9035_1-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j90/normalized-j9039_3-unsat--soft-0-100-0.wbo.xz,9
SOFT-LIN/PB10/oliveras/j90/normalized-j903_10-unsat--soft-0-100-0.wbo.xz,8
SOFT-LIN/PB10/oliveras/j90/normalized-j9048_1-unsat--soft-0-100-0.wbo.xz,10
SOFT-LIN/PB10/oliveras/j90/normalized-j907_8-unsat--soft-0-100-0.wbo.xz,9
